site,site_number,plot,lat,long,shrub_density,sampling
Carrizo,4,1,35.11994,-119.62846,high,under shrub or open area
Carrizo,4,2,35.11923,-119.62846,mediun,under shrub or open area
Carrizo,4,3,35.11887,-119.62939,low,under shrub or open area
Carrizo,4,4,35.1185,-119.62861,none,under shrub or open area
Carrizo,3,5,35.16175,-119.67193,high,under shrub or open area
Carrizo,3,6,35.16333,-119.67411,mediun,under shrub or open area
Carrizo,3,7,35.16234,-119.67297,low,under shrub or open area
Carrizo,3,8,35.16252,-119.67435,none,under shrub or open area
