year,month,season,date,site,site_number,rep,microsite,mass_g
2019,July,summer,01-Jul-19,Cuyama,C2,10,ephedra,1.9667
2019,July,summer,01-Jul-19,Cuyama,C2,10,open,0.2603
2019,June,summer,29-Jun-19,Cuyama,C2,11,ephedra,2.6026
2019,June,summer,29-Jun-19,Cuyama,C2,11,open,0.4184
2019,June,summer,29-Jun-19,Cuyama,C2,12,ephedra,8.0742
2019,June,summer,29-Jun-19,Cuyama,C2,12,open,1.3882
2019,June,summer,29-Jun-19,Cuyama,C2,13,ephedra,0.2918
2019,June,summer,29-Jun-19,Cuyama,C2,13,open,0.7618
2019,July,summer,01-Jul-19,Cuyama,C2,14,ephedra,4.2574
2019,July,summer,01-Jul-19,Cuyama,C2,14,open,0.9522
2019,June,summer,29-Jun-19,Cuyama,C2,15,ephedra,5.0363
2019,June,summer,29-Jun-19,Cuyama,C2,15,open,1.058
2019,June,summer,29-Jun-19,Cuyama,C2,16,ephedra,8.0553
2019,June,summer,29-Jun-19,Cuyama,C2,16,open,0.8078
2019,June,summer,29-Jun-19,Cuyama,C2,17,ephedra,0.673
2019,June,summer,29-Jun-19,Cuyama,C2,17,open,2.2943
2019,July,summer,01-Jul-19,Cuyama,C2,18,ephedra,0.1271
2019,July,summer,01-Jul-19,Cuyama,C2,18,open,1.1367
2019,June,summer,29-Jun-19,Cuyama,C2,19,ephedra,0
2019,June,summer,29-Jun-19,Cuyama,C2,19,open,1.8268
2019,June,summer,29-Jun-19,Cuyama,C2,20,ephedra,6.9348
2019,June,summer,29-Jun-19,Cuyama,C2,20,open,0.4401
2019,June,summer,29-Jun-19,Cuyama,C2,21,ephedra,0.9334
2019,June,summer,29-Jun-19,Cuyama,C2,21,open,1.1987
2019,July,summer,01-Jul-19,Cuyama,C2,22,ephedra,2.6233
2019,July,summer,01-Jul-19,Cuyama,C2,22,open,0.6583
2019,June,summer,29-Jun-19,Cuyama,C2,23,ephedra,1.6146
2019,June,summer,29-Jun-19,Cuyama,C2,23,open,2.2701
2019,June,summer,29-Jun-19,Cuyama,C2,24,ephedra,1.9497
2019,June,summer,29-Jun-19,Cuyama,C2,24,open,1.8531
2019,June,summer,29-Jun-19,Cuyama,C2,25,ephedra,1.3644
2019,June,summer,29-Jun-19,Cuyama,C2,25,open,0.1771
2019,July,summer,01-Jul-19,Cuyama,C2,26,ephedra,0.7654
2019,July,summer,01-Jul-19,Cuyama,C2,26,open,0.2095
2019,June,summer,29-Jun-19,Cuyama,C2,27,ephedra,3.7827
2019,June,summer,29-Jun-19,Cuyama,C2,27,open,0.2937
2019,June,summer,29-Jun-19,Cuyama,C2,28,ephedra,4.2096
2019,June,summer,29-Jun-19,Cuyama,C2,28,open,0.0459
2019,July,summer,01-Jul-19,Cuyama,C2,29,ephedra,1.6225
2019,July,summer,01-Jul-19,Cuyama,C2,29,open,0.1884
2019,June,summer,29-Jun-19,Cuyama,C2,30,ephedra,0.951
2019,June,summer,29-Jun-19,Cuyama,C2,30,open,0.1604
2019,June,summer,30-Jun-19,Cuyama,C3,1,ephedra,1.0388
2019,June,summer,30-Jun-19,Cuyama,C3,1,open,0.6668
2019,July,summer,01-Jul-19,Cuyama,C3,2,ephedra,1.143
2019,July,summer,01-Jul-19,Cuyama,C3,2,open,1.4325
2019,June,summer,30-Jun-19,Cuyama,C3,3,ephedra,0.7657
2019,June,summer,30-Jun-19,Cuyama,C3,3,open,2.1853
2019,June,summer,30-Jun-19,Cuyama,C3,4,ephedra,1.748
2019,June,summer,30-Jun-19,Cuyama,C3,4,open,3.7241
2019,June,summer,30-Jun-19,Cuyama,C3,5,ephedra,0.912
2019,June,summer,30-Jun-19,Cuyama,C3,5,open,0.6526
2019,July,summer,01-Jul-19,Cuyama,C3,6,ephedra,0.2893
2019,July,summer,01-Jul-19,Cuyama,C3,6,open,1.3074
2019,June,summer,30-Jun-19,Cuyama,C3,7,ephedra,1.9657
2019,June,summer,30-Jun-19,Cuyama,C3,7,open,4.0563
2019,June,summer,30-Jun-19,Cuyama,C3,8,ephedra,1.1774
2019,June,summer,30-Jun-19,Cuyama,C3,8,open,2.6384
2019,July,summer,01-Jul-19,Cuyama,C3,9,ephedra,2.7813
2019,July,summer,01-Jul-19,Cuyama,C3,9,open,4.3929
2019,June,summer,30-Jun-19,Cuyama,C3,10,ephedra,3.6168
2019,June,summer,30-Jun-19,Cuyama,C3,10,open,8.5572
2019,June,summer,30-Jun-19,Cuyama,C3,11,ephedra,1.3977
2019,June,summer,30-Jun-19,Cuyama,C3,11,open,1.2338
2019,June,summer,30-Jun-19,Cuyama,C3,12,ephedra,4.7047
2019,June,summer,30-Jun-19,Cuyama,C3,12,open,0.2105
2019,June,summer,30-Jun-19,Cuyama,C3,13,ephedra,0.3357
2019,June,summer,30-Jun-19,Cuyama,C3,13,open,1.1342
2019,July,summer,01-Jul-19,Cuyama,C3,14,ephedra,4.5376
2019,July,summer,01-Jul-19,Cuyama,C3,14,open,3.7626
2019,June,summer,30-Jun-19,Cuyama,C3,15,ephedra,0.2191
2019,June,summer,30-Jun-19,Cuyama,C3,15,open,1.2497
2019,June,summer,30-Jun-19,Cuyama,C3,16,ephedra,2.8092
2019,June,summer,30-Jun-19,Cuyama,C3,16,open,1.6453
2019,June,summer,30-Jun-19,Cuyama,C3,17,ephedra,1.1654
2019,June,summer,30-Jun-19,Cuyama,C3,17,open,0.3232
2019,July,summer,01-Jul-19,Cuyama,C3,18,ephedra,4.2681
2019,July,summer,01-Jul-19,Cuyama,C3,18,open,3.4095
2019,June,summer,30-Jun-19,Cuyama,C3,19,ephedra,0.5014
2019,June,summer,30-Jun-19,Cuyama,C3,19,open,11.7578
2019,June,summer,30-Jun-19,Cuyama,C3,20,ephedra,0.4918
2019,June,summer,30-Jun-19,Cuyama,C3,20,open,7.1545
2019,June,summer,30-Jun-19,Cuyama,C3,21,ephedra,2.862
2019,June,summer,30-Jun-19,Cuyama,C3,21,open,2.4092
2019,July,summer,01-Jul-19,Cuyama,C3,22,ephedra,5.6561
2019,July,summer,01-Jul-19,Cuyama,C3,22,open,15.1671
2019,June,summer,30-Jun-19,Cuyama,C3,23,ephedra,2.5221
2019,June,summer,30-Jun-19,Cuyama,C3,23,open,0.6934
2019,June,summer,30-Jun-19,Cuyama,C3,24,ephedra,0.7988
2019,June,summer,30-Jun-19,Cuyama,C3,24,open,1.3747
2019,June,summer,30-Jun-19,Cuyama,C3,25,ephedra,0.7348
2019,June,summer,30-Jun-19,Cuyama,C3,25,open,0
2019,July,summer,01-Jul-19,Cuyama,C3,26,ephedra,0.0992
2019,July,summer,01-Jul-19,Cuyama,C3,26,open,0
2019,June,summer,30-Jun-19,Cuyama,C3,27,ephedra,0.2813
2019,June,summer,30-Jun-19,Cuyama,C3,27,open,1.8422
2019,June,summer,30-Jun-19,Cuyama,C3,28,ephedra,6.6993
2019,June,summer,30-Jun-19,Cuyama,C3,28,open,1.1675
2019,July,summer,01-Jul-19,Cuyama,C3,29,ephedra,3.197
2019,July,summer,01-Jul-19,Cuyama,C3,29,open,4.2314
